movie,content,aspect,sentiment
千と千尋の神隠し,"每次看这些神作的时候想到这是动画片这是一群牛人一笔一笔画出来的,就觉得漏看掉一帧都实在是对不起他们啊",映像効果,0.3029020659226862
千と千尋の神隠し,十年后重看只想大哭，其实我们都明白这个结局。,ストーリー,0.9841673847816449
千と千尋の神隠し,"隔那么多年再看，还是会二话不说就爱上温柔的白龙，还是会被无脸男捧出的一把木牌打动，还是想坐在阁楼上边吃豆包边看电车从海上驶过，但是……再也说不出“想留在那样的世界再也不出来”的话了！愿幻想的世界里没有工作！
话说千寻现在也28岁了啊，不知道有没有和白龙重逢，如果按好故事的标准，应该是没有吧？她大概已经变成了普通的上班族，每天搭末班电车回家，只是在路过每一条河流时，会想起少女时曾经爱过一条龙。",ストーリー,0.9999975039564212
千と千尋の神隠し,直到千寻回忆起琥珀川落水的童年记忆之后，才发现导演想借这个故事承载的比我们想象中还要多，包括河神老白龙的外表被误认为是超大型的腐烂之神。说人类贪婪，不工作就会变成肥猪，汤婆婆和小妖怪们到了无脸男面前，也没有什么不一样，世上无论人神妖都有两面，都没有什么不一样，除了白龙和千寻这样的少男少女。宫崎骏的厉害之处，就在于把深奥的故事放到简单的情境放到简单的情境里，看着老少咸宜，却又能让有心人久久地玩味。,ストーリー,0.2
千と千尋の神隠し,内心永远的神作。天马行空的想象力配以精致大气的画面令人窒息。只有内心安静，精益求精，不浮躁，不世故的灵魂才可出此杰作。隐喻深刻却又充满童真。令人感动的同时又带着忧伤，值得回味！,映像効果,0.999999999990949
千と千尋の神隠し,"常看IMDB和豆瓣的电影的TOP250排行榜，发现有不少公认的好电影我竟然没有看过，或者看得太早已经完全忘记了。决定开始“补课”，先消灭前30名内的“盲点”。第一部选中的是日本的《千与千寻》；IMDB评分8.5（680,503人次评价）排行27；豆瓣评分9.7（1，912，443人次评价），排行7。
        果然名不虚传，内容形式完美结合、老少咸宜的佳片！宫崎骏的动画电影世界过去我看得太少，要补上。豆瓣上该片的“粉丝”很不少，看了些观感分析，获益良多。听说2019年（公演18年后）该片中文配音版在国内影院公映了，还有田壮壮参加配音；可惜我下载的是个广东话版，听着和日语也差不多，不影响观感。",映像効果,0.9999999994010367
千と千尋の神隠し,#20190621重看# #电影院# 今天晚上看了重映，当熟悉却渐渐模糊的剧情再次重现，本来以为自己会很平静到最后千寻一路坐上去钱婆婆家的小火车时还是忍不住哭了。日本动画的最高峰之一，令我等后辈叹为观止。,ストーリー,0.9940484163249012
千と千尋の神隠し,#20190621重看# #电影院# 今天晚上看了重映，当熟悉却渐渐模糊的剧情再次重现，本来以为自己会很平静到最后千寻一路坐上去钱婆婆家的小火车时还是忍不住哭了。日本动画的最高峰之一，令我等后辈叹为观止。,映像効果,0.9940484163249012
千と千尋の神隠し,第一次看宫崎骏的电影年龄说起来有点惭愧，家里人对我管的比较紧，高考毕业后才把他的作品都看了一遍，但是千与千寻绝对是我很小的时候就接触过，不过那时候了解的不够深刻，只记得里面很多画面让人很不可思议，比如人变猪类似这样，宫崎骏的电影都让人有种很温暖贴心的感觉，真的很好看！,映像効果,0.9999999999998692
千と千尋の神隠し,很久以前看过的动画片，又重温了一次，还是觉得那么好看，只是感触更深了，当千寻对着因贪婪而变成猪的爸爸妈妈大喊：不要变太胖，否则会被人宰了吃的。这么深刻的道理简单明了的就表达出来了。,演技,0.9999998915643373
